"","Data Series","Time","Exports"
"187","Europe (Million Dollars)","2018 Oct",5444.4
"188","Europe (Million Dollars)","2018 Sep",4689.5
"189","Europe (Million Dollars)","2018 Aug",4662.3
"190","Europe (Million Dollars)","2018 Jul",4171.9
"191","Europe (Million Dollars)","2018 Jun",4599
"192","Europe (Million Dollars)","2018 May",5576.3
"193","Europe (Million Dollars)","2018 Apr",4366.9
"194","Europe (Million Dollars)","2018 Mar",4152.3
"195","Europe (Million Dollars)","2018 Feb",3881.7
"196","Europe (Million Dollars)","2018 Jan",4453.4
"197","Oceania (Million Dollars)","2022 Jan",2682.7
"198","Oceania (Million Dollars)","2021 Dec",2743.9
"199","Oceania (Million Dollars)","2021 Nov",2746.5
"200","Oceania (Million Dollars)","2021 Oct",2434.8
"201","Oceania (Million Dollars)","2021 Sep",2462.1
"202","Oceania (Million Dollars)","2021 Aug",2539.3
"203","Oceania (Million Dollars)","2021 Jul",2340.8
"204","Oceania (Million Dollars)","2021 Jun",2499.3
"205","Oceania (Million Dollars)","2021 May",2133.4
"206","Oceania (Million Dollars)","2021 Apr",2018
"207","Oceania (Million Dollars)","2021 Mar",2285.1
"208","Oceania (Million Dollars)","2021 Feb",1834.1
"209","Oceania (Million Dollars)","2021 Jan",1728.3
"210","Oceania (Million Dollars)","2020 Dec",1655.8
"211","Oceania (Million Dollars)","2020 Nov",1648.8
"212","Oceania (Million Dollars)","2020 Oct",1581
"213","Oceania (Million Dollars)","2020 Sep",1640.4
"214","Oceania (Million Dollars)","2020 Aug",1811.1
"215","Oceania (Million Dollars)","2020 Jul",1725.8
"216","Oceania (Million Dollars)","2020 Jun",1418.3
"217","Oceania (Million Dollars)","2020 May",1311.4
"218","Oceania (Million Dollars)","2020 Apr",1511.8
"219","Oceania (Million Dollars)","2020 Mar",1859.3
"220","Oceania (Million Dollars)","2020 Feb",2090.4
"221","Oceania (Million Dollars)","2020 Jan",2121.6
"222","Oceania (Million Dollars)","2019 Dec",1918.4
"223","Oceania (Million Dollars)","2019 Nov",2078.1
"224","Oceania (Million Dollars)","2019 Oct",2591.2
"225","Oceania (Million Dollars)","2019 Sep",2113.4
"226","Oceania (Million Dollars)","2019 Aug",2046
"227","Oceania (Million Dollars)","2019 Jul",2021.7
"228","Oceania (Million Dollars)","2019 Jun",2117.9
"229","Oceania (Million Dollars)","2019 May",2069.6
"230","Oceania (Million Dollars)","2019 Apr",2235.3
"231","Oceania (Million Dollars)","2019 Mar",2167.6
