"","Data Series","Time","Imports"
"156","Europe (Million Dollars)","2021 May",6563.5
"157","Europe (Million Dollars)","2021 Apr",6740.5
"158","Europe (Million Dollars)","2021 Mar",8964
"159","Europe (Million Dollars)","2021 Feb",5403.7
"160","Europe (Million Dollars)","2021 Jan",5749.6
"161","Europe (Million Dollars)","2020 Dec",6087.4
"162","Europe (Million Dollars)","2020 Nov",6133.5
"163","Europe (Million Dollars)","2020 Oct",6285.4
"164","Europe (Million Dollars)","2020 Sep",5316.9
"165","Europe (Million Dollars)","2020 Aug",5225
"166","Europe (Million Dollars)","2020 Jul",5475.3
"167","Europe (Million Dollars)","2020 Jun",4960.7
"168","Europe (Million Dollars)","2020 May",4629
"169","Europe (Million Dollars)","2020 Apr",5150.6
"170","Europe (Million Dollars)","2020 Mar",6333.3
"171","Europe (Million Dollars)","2020 Feb",6209.6
"172","Europe (Million Dollars)","2020 Jan",6859.7
"173","Europe (Million Dollars)","2019 Dec",6314.8
"174","Europe (Million Dollars)","2019 Nov",6827.1
"175","Europe (Million Dollars)","2019 Oct",6624.7
"176","Europe (Million Dollars)","2019 Sep",6310.1
"177","Europe (Million Dollars)","2019 Aug",6533.8
"178","Europe (Million Dollars)","2019 Jul",6325.3
"179","Europe (Million Dollars)","2019 Jun",6054.8
"180","Europe (Million Dollars)","2019 May",7987.4
"181","Europe (Million Dollars)","2019 Apr",7157
"182","Europe (Million Dollars)","2019 Mar",7128.7
"183","Europe (Million Dollars)","2019 Feb",6730.3
"184","Europe (Million Dollars)","2019 Jan",7489.3
"185","Europe (Million Dollars)","2018 Dec",7742.8
"186","Europe (Million Dollars)","2018 Nov",8032.7
"187","Europe (Million Dollars)","2018 Oct",7805.9
"188","Europe (Million Dollars)","2018 Sep",7542.6
"189","Europe (Million Dollars)","2018 Aug",8218.9
"190","Europe (Million Dollars)","2018 Jul",8694.4
"191","Europe (Million Dollars)","2018 Jun",7126.1
"192","Europe (Million Dollars)","2018 May",7181.7
"193","Europe (Million Dollars)","2018 Apr",6237.3
"194","Europe (Million Dollars)","2018 Mar",6963
"195","Europe (Million Dollars)","2018 Feb",6061.9
"196","Europe (Million Dollars)","2018 Jan",6318
"197","Oceania (Million Dollars)","2022 Jan",810.4
"198","Oceania (Million Dollars)","2021 Dec",744.8
"199","Oceania (Million Dollars)","2021 Nov",994.1
"200","Oceania (Million Dollars)","2021 Oct",1021.2
"201","Oceania (Million Dollars)","2021 Sep",599.8
"202","Oceania (Million Dollars)","2021 Aug",744
"203","Oceania (Million Dollars)","2021 Jul",1201.2
"204","Oceania (Million Dollars)","2021 Jun",890.1
"205","Oceania (Million Dollars)","2021 May",1001.7
"206","Oceania (Million Dollars)","2021 Apr",1030.5
"207","Oceania (Million Dollars)","2021 Mar",1131
"208","Oceania (Million Dollars)","2021 Feb",1134.7
"209","Oceania (Million Dollars)","2021 Jan",705.5
"210","Oceania (Million Dollars)","2020 Dec",540.9
"211","Oceania (Million Dollars)","2020 Nov",1412.8
"212","Oceania (Million Dollars)","2020 Oct",577.3
"213","Oceania (Million Dollars)","2020 Sep",477.7
"214","Oceania (Million Dollars)","2020 Aug",586.5
"215","Oceania (Million Dollars)","2020 Jul",493.1
"216","Oceania (Million Dollars)","2020 Jun",456.4
"217","Oceania (Million Dollars)","2020 May",441.8
"218","Oceania (Million Dollars)","2020 Apr",637.6
"219","Oceania (Million Dollars)","2020 Mar",845.9
"220","Oceania (Million Dollars)","2020 Feb",694.7
"221","Oceania (Million Dollars)","2020 Jan",819.7
"222","Oceania (Million Dollars)","2019 Dec",1369.3
"223","Oceania (Million Dollars)","2019 Nov",841.1
"224","Oceania (Million Dollars)","2019 Oct",941.8
"225","Oceania (Million Dollars)","2019 Sep",866.8
"226","Oceania (Million Dollars)","2019 Aug",1015.1
"227","Oceania (Million Dollars)","2019 Jul",815.3
"228","Oceania (Million Dollars)","2019 Jun",503.7
"229","Oceania (Million Dollars)","2019 May",889.4
"230","Oceania (Million Dollars)","2019 Apr",820.3
"231","Oceania (Million Dollars)","2019 Mar",518.9
"232","Oceania (Million Dollars)","2019 Feb",787.2
"233","Oceania (Million Dollars)","2019 Jan",614.4
"234","Oceania (Million Dollars)","2018 Dec",895.3
"235","Oceania (Million Dollars)","2018 Nov",875.7
"236","Oceania (Million Dollars)","2018 Oct",801.7
"237","Oceania (Million Dollars)","2018 Sep",686.2
"238","Oceania (Million Dollars)","2018 Aug",827.4
"239","Oceania (Million Dollars)","2018 Jul",773.2
"240","Oceania (Million Dollars)","2018 Jun",828.5
"241","Oceania (Million Dollars)","2018 May",793.2
"242","Oceania (Million Dollars)","2018 Apr",490.3
"243","Oceania (Million Dollars)","2018 Mar",651.5
"244","Oceania (Million Dollars)","2018 Feb",600.3
"245","Oceania (Million Dollars)","2018 Jan",591.8
"246","Africa (Million Dollars)","2022 Jan",529.9
"247","Africa (Million Dollars)","2021 Dec",616.8
"248","Africa (Million Dollars)","2021 Nov",731.8
"249","Africa (Million Dollars)","2021 Oct",628.8
"250","Africa (Million Dollars)","2021 Sep",333.4
"251","Africa (Million Dollars)","2021 Aug",808.4
